name;simulation-fixpoint-runtime;simulation-fixpoint-parsing;simulation-fixpoint-reduction;simulation-fixpoint-states;simulation-fixpoint-transitions
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8589-aut9.mata;0.0; 0.00168827; 0.0007; 1; 2
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8824-aut1.mata;0.0; 0.00197916; 0.0007; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8824-aut10.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8824-aut2.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8824-aut9.mata;0.0; 0.00182377; 0.0007; 2; 5
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8855-aut1.mata;0.0; 0.00192231; 0.0007; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8855-aut10.mata;0.0; 0.00192757; 0.0007; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8855-aut2.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8855-aut9.mata;0.0; 0.00177162; 0.0007; 2; 5
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8856-aut1.mata;0.0; 0.00169733; 0.0008; 2; 5
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8856-aut10.mata;0.0; 0.00192979; 0.0008; 3; 7
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8856-aut2.mata;0.0; 0.00171593; 0.0007; 2; 5
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8856-aut9.mata;0.0; 0.00190502; 0.0008; 3; 6
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8865-aut1.mata;0.0; 0.0016981; 0.0007; 2; 5
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8865-aut10.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8865-aut2.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8865-aut9.mata;0.0; 0.00196827; 0.0006; 5; 7
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8867-aut1.mata;0.0; 0.00200263; 0.0007; 3; 6
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8867-aut10.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8867-aut2.mata;0.0; 0.00204396; 0.0008; 3; 7
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8867-aut9.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8926-aut1.mata;0.0; 0.00174437; 0.0008; 1; 2
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8926-aut10.mata;0.0; 0.00188198; 0.0007; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8926-aut2.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8926-aut9.mata;0.0; 0.00197562; 0.0007; 5; 7
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8952-aut1.mata;0.0; 0.00190456; 0.0008; 3; 7
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8952-aut10.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8952-aut2.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8952-aut9.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8955-aut1.mata;0.0; 0.0019319; 0.0009; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8955-aut10.mata;0.0; 0.00192673; 0.0009; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8955-aut2.mata;0.0; 0.00190529; 0.0007; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8955-aut9.mata;0.0; 0.00189989; 0.0008; 5; 7
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8957-aut1.mata;0.0; 0.00193029; 0.0008; 3; 6
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8957-aut10.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8957-aut2.mata;0.0; 0.00193796; 0.0008; 3; 6
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8957-aut9.mata;0.0; 0.00190369; 0.0009; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8962-aut1.mata;0.0; 0.00191475; 0.0008; 3; 6
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8962-aut10.mata;0.0; 0.00188703; 0.0009; 2; 4
