name;hopcroft-runtime;hopcroft-parsing;hopcroft-reduction;hopcroft-states;hopcroft-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;1.34; 1.30184; 0.0459; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;1.57; 1.5249; 0.0522; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.41; 1.37869; 0.0470; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata;1.52; 1.49755; 0.0527; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;1.41; 1.40094; 0.0484; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata;1.68; 1.71164; 0.0085; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.21; 0.22305; 0.0009; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata;0.19; 0.198602; 0.0039; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;0.21; 0.218611; 0.0041; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata;0.24; 0.250344; 0.0048; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;0.22; 0.217995; 0.0043; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata;0.25; 0.247424; 0.0047; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;0.22; 0.217931; 0.0042; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata;0.24; 0.247939; 0.0047; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;0.19; 0.185106; 0.0037; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-lhs.mata;0.25; 0.25028; 0.0048; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-rhs.mata;0.2; 0.198375; 0.0038; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata;0.26; 0.254032; 0.0048; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;0.22; 0.21855; 0.0042; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata;1.55; 1.52138; 0.0331; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;1.51; 1.51096; 0.0322; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata;1.57; 1.57221; 0.0346; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;1.55; 1.50701; 0.0322; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata;1.54; 1.50689; 0.0325; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;1.43; 1.39644; 0.0301; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;1.55; 1.52266; 0.0323; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.55; 1.53588; 0.0327; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata;0.76; 0.765977; 0.0146; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;0.68; 0.680629; 0.0135; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata;0.77; 0.771799; 0.0152; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;0.7; 0.693331; 0.0135; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata;0.79; 0.769694; 0.0147; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;0.74; 0.735064; 0.0139; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata;0.78; 0.779172; 0.0147; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;0.72; 0.740348; 0.0140; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata;0.77; 0.763744; 0.0145; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;0.67; 0.681256; 0.0134; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata;0.67; 0.676809; 0.0168; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;0.58; 0.580148; 0.0145; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata;0.68; 0.665207; 0.0165; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;0.58; 0.565645; 0.0143; 5; 5
