name;simulation-fixpoint-runtime;simulation-fixpoint-parsing;simulation-fixpoint-reduction;simulation-fixpoint-states;simulation-fixpoint-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata;3.3; 1.46737; 1.8521; 11; 12
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;2.83; 1.27841; 1.5324; 10; 10
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;3.32; 1.4697; 1.8459; 11; 12
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;2.92; 1.33577; 1.6043; 9; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata;3.31; 1.46221; 1.8453; 11; 12
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;3.05; 1.37947; 1.6806; 12; 13
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata;1.93; 1.66574; 0.2931; 6; 10
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.22; 0.215938; 0.0080; 6; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata;0.21; 0.190876; 0.0264; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;0.23; 0.211905; 0.0300; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata;0.27; 0.241939; 0.0338; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;0.23; 0.212491; 0.0297; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata;0.27; 0.243748; 0.0334; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;0.24; 0.21317; 0.0299; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata;0.27; 0.242475; 0.0337; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;0.21; 0.179285; 0.0278; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-lhs.mata;0.27; 0.246087; 0.0335; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-rhs.mata;0.22; 0.194206; 0.0265; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata;0.27; 0.242023; 0.0337; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;0.25; 0.210717; 0.0300; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata;3.57; 1.49404; 2.0684; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;3.55; 1.4973; 2.0524; 11; 16
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata;3.61; 1.50491; 2.1032; 8; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;3.54; 1.47745; 2.0401; 6; 7
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata;3.5; 1.47753; 2.0169; 8; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;3.23; 1.37423; 1.8788; 8; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;3.5; 1.47788; 2.0489; 12; 12
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;3.53; 1.47436; 2.0634; 8; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata;1.4; 0.753327; 0.6422; 6; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;1.22; 0.667922; 0.5650; 8; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata;1.41; 0.759782; 0.6590; 7; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;1.21; 0.666422; 0.5588; 6; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata;1.37; 0.756047; 0.6398; 6; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;1.34; 0.72185; 0.6329; 6; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata;1.39; 0.751015; 0.6428; 10; 10
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;1.34; 0.723735; 0.6204; 7; 7
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata;1.4; 0.758693; 0.6403; 10; 10
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;1.22; 0.669714; 0.5657; 10; 10
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata;1.28; 0.656381; 0.6417; 8; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;1.02; 0.557087; 0.4655; 6; 7
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata;1.25; 0.652367; 0.6204; 8; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;1.02; 0.559846; 0.4652; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata;1.34; 0.691485; 0.6937; 6; 7
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;1.22; 0.624711; 0.6018; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;12.89; 6.71312; 6.1556; 7; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.8; 0.351248; 0.4455; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata;12.89; 6.70316; 6.1524; 7; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;1.11; 0.502007; 0.5991; 7; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;12.89; 6.70409; 6.1617; 7; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.11; 0.503318; 0.5982; 7; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata;1.89; 1.66688; 0.2370; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.21; 0.215115; 0.0071; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata;1.87; 1.67346; 0.2354; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.21; 0.215433; 0.0070; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata;0.0; 0.00114128; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.09; 0.0846352; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata;3.44; 1.51837; 1.9270; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.1; 0.0845818; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata;0.0; 0.000544742; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.09; 0.0844898; 0.0128; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata;0.13; 0.119456; 0.0180; 5; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.09; 0.0843725; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata;0.14; 0.131112; 0.0198; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.09; 0.0847109; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata;0.21; 0.180659; 0.0301; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.09; 0.0845951; 0.0127; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata;3.5; 1.52656; 1.9664; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.09; 0.0849981; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata;0.21; 0.192592; 0.0283; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.1; 0.0846605; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata;0.2; 0.17951; 0.0300; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.1; 0.0851431; 0.0130; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata;0.24; 0.210903; 0.0320; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.09; 0.084531; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata;0.21; 0.181452; 0.0301; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.09; 0.0848128; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata;0.0; 0.00235075; 0.0004; 4; 7
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.09; 0.0849096; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata;0.28; 0.242662; 0.0358; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.09; 0.0850591; 0.0127; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata;0.24; 0.212697; 0.0319; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.1; 0.0847918; 0.0130; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata;0.28; 0.244907; 0.0359; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.09; 0.0851786; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata;0.27; 0.242544; 0.0357; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.09; 0.0844644; 0.0130; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata;0.27; 0.242061; 0.0361; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.1; 0.0847454; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata;0.02; 0.0249104; 0.0022; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.08; 0.0846026; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata;0.26; 0.242867; 0.0359; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.09; 0.0845333; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata;0.0; 0.00112547; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.1; 0.0846867; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata;0.0; 0.00136826; 0.0005; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.09; 0.0847268; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata;1.24; 0.641026; 0.6002; 7; 7
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.08; 0.084519; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata;1.25; 0.642295; 0.6007; 8; 10
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.09; 0.0849354; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata;0.07; 0.0668185; 0.0091; 5; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.09; 0.0847491; 0.0130; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata;0.09; 0.0824638; 0.0124; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.09; 0.084897; 0.0128; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata;3.48; 1.52547; 1.9621; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.0; 0.00111637; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata;3.49; 1.52556; 1.9642; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.02; 0.0246683; 0.0024; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata;3.46; 1.52181; 1.9498; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.09; 0.0855604; 0.0129; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata;3.5; 1.52135; 1.9721; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.02; 0.0246429; 0.0024; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata;3.47; 1.51529; 1.9693; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.0; 0.000539762; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata;3.45; 1.52384; 1.9464; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.1; 0.0844635; 0.0127; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata;3.48; 1.52079; 1.9563; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.1; 0.0845632; 0.0130; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata;3.49; 1.52537; 1.9607; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.1; 0.085035; 0.0130; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata;3.46; 1.51978; 1.9598; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.0; 0.00235912; 0.0004; 4; 7
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata;3.49; 1.51575; 1.9677; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.02; 0.0245411; 0.0022; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata;3.69; 1.52705; 2.1439; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.0; 0.00117809; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata;3.49; 1.54174; 1.9596; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.0; 0.00138916; 0.0005; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata;3.48; 1.52538; 1.9606; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;1.24; 0.639224; 0.6018; 8; 10
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata;3.48; 1.52399; 1.9721; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;1.24; 0.640819; 0.5994; 8; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata;3.46; 1.52208; 1.9668; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.0; 0.000523212; 0.0003; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata;3.45; 1.5208; 1.9454; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.0; 0.00196678; 0.0006; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata;3.48; 1.52049; 1.9615; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.0; 0.000544911; 0.0003; 5; 5
